Table 2 - Panel B					
	(1)	(2)	(3)	(4)	(5)
VARIABLES					
					
president	3.00**	3.03**	3.19**	4.26**	3.28
	[1.233]	[1.265]	[1.326]	[1.744]	[2.209]
presidentMP	-3.55**	-3.61**	-3.45**	-2.38*	-3.27**
	[1.382]	[1.365]	[1.319]	[1.358]	[1.389]
					
					
Observations	410	410	410	410	410
Adjusted R-squared	0.012	0.008	0.001	0.012	0.131
Robust standard errors clustered at the district level in parentheses					
* significant at 10%; ** significant at 5%; *** significant at 1%					
